定式ID,匹配步数,落子前缀
kj_98558,6,pd nc qf pb qc kc
kj_50963,10,pd nc kd qf nd md ne qc oc qd
kj_55425,6,pd nc qf pg pf ng
kj_65889,9,pc pe qe qf qd pf nc me tt
kj_28549,8,pc pe tt qc qg pd oc rd
kj_81060,7,pd nc kd ne pf pb qc
kj_65229,6,pd nc pf qh tt oh
kj_05408,8,pd tt nc tt qg mc md ld
kj_42279,6,pd tt ke kf lf le
kj_79416,6,pd nc lc ld kd md
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_60055,6,pd nc qf ne pb tt
kj_74845,10,pd nc pf qc pc pb ob qb oc re
kj_46615,6,pd nc qf tt qi pi
kj_65111,9,pd qc pc qd qf rf qe re qg
kj_08848,8,pd nc qf pb md mc ld nd
kj_83373,10,pc qe tt od oc nd mc md lc ld
kj_98488,8,pd nc oc nd pf tt ld lc
kj_91319,7,pc pe tt qc qb qd ob
kj_17972,7,pc qe tt lc qd pe nc
kj_07012,13,pd nc pf tt lc ld kd kc ke lb tt mc kb
kj_48322,7,pc tt qi pe qe qf qd
kj_88110,12,pd tt nc re qe rd rf pc qf oc od nb
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_88888,6,pc tt qe pb oc ob
kj_23359,7,pd nc qf pb tt qc tt
kj_92647,8,pc pe qe qf qd pf nc qj
kj_16316,6,pd nc pf tt md tt
kj_54125,6,pd nc qf pb lc qc
kj_31749,6,pd tt nc rd qg qc
kj_11311,9,pc pe nc qc qd pd rc qb pb
kj_13338,11,pd nc lc qf pf pg of qd qc qe pc
kj_70705,10,pc pe qe qf qd pf nc pj tt qm
kj_92647,8,pc pe qe qf qd pf nc qj
kj_53303,6,pc pe qe qf qd pg
kj_98558,6,pd nc qf pb qc kc
kj_39717,6,pd nc qf pb qc ld
kj_32044,11,pd nc lc qf nd qc qd pc od oc rd
kj_50803,8,pc pe qe qf qd pg of pf
kj_60610,7,pd tt nd qd qe re pe
kj_66888,8,pd nc oc nd qf tt nb mb
kj_36929,6,pd nc qf kd tt pb
kj_53303,6,pc pe qe qf qd pg
kj_72225,6,pc qe od tt kc tt
kj_78670,7,pd nc kd qc pc qd pe
kj_89760,7,pd nc qf tt pb tt kc
kj_08485,6,pd nc qf kd tt pg
